start
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/5 with read ROI [700:5700, 4368:8368, 4368:8368] (5000, 4000, 4000) and write ROI [700:5700, 4368:8368, 4368:8368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1074 with read ROI [700:5700, 56368:60368, 12368:16368] (5000, 4000, 4000) and write ROI [700:5700, 56368:60368, 12368:16368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/3759 with read ROI [700:5700, 56368:60368, 52368:56368] (5000, 4000, 4000) and write ROI [700:5700, 56368:60368, 52368:56368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/3774 with read ROI [700:5700, 60368:63624, 48368:52368] (5000, 3256, 4000) and write ROI [700:5700, 60368:63624, 48368:52368] (5000, 3256, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/457 with read ROI [5700:10700, 368:4368, 48368:52368] (5000, 4000, 4000) and write ROI [5700:10700, 368:4368, 48368:52368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/368 with read ROI [5700:10700, 4368:8368, 40368:44368] (5000, 4000, 4000) and write ROI [5700:10700, 4368:8368, 40368:44368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/297 with read ROI [5700:10700, 12368:16368, 28368:32368] (5000, 4000, 4000) and write ROI [5700:10700, 12368:16368, 28368:32368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/136 with read ROI [5700:10700, 16368:20368, 12368:16368] (5000, 4000, 4000) and write ROI [5700:10700, 16368:20368, 12368:16368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1562 with read ROI [5700:10700, 20368:24368, 56368:60368] (5000, 4000, 4000) and write ROI [5700:10700, 20368:24368, 56368:60368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1359 with read ROI [5700:10700, 24368:28368, 48368:52368] (5000, 4000, 4000) and write ROI [5700:10700, 24368:28368, 48368:52368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/410 with read ROI [5700:10700, 32368:36368, 12368:16368] (5000, 4000, 4000) and write ROI [5700:10700, 32368:36368, 12368:16368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/2646 with read ROI [5700:10700, 32368:36368, 60368:63624] (5000, 4000, 3256) and write ROI [5700:10700, 32368:36368, 60368:63624] (5000, 4000, 3256)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/2656 with read ROI [5700:10700, 36368:40368, 56368:60368] (5000, 4000, 4000) and write ROI [5700:10700, 36368:40368, 56368:60368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1219 with read ROI [5700:10700, 44368:48368, 24368:28368] (5000, 4000, 4000) and write ROI [5700:10700, 44368:48368, 24368:28368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/2692 with read ROI [5700:10700, 48368:52368, 44368:48368] (5000, 4000, 4000) and write ROI [5700:10700, 48368:52368, 44368:48368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1090 with read ROI [5700:10700, 56368:60368, 8368:12368] (5000, 4000, 4000) and write ROI [5700:10700, 56368:60368, 8368:12368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/2437 with read ROI [5700:10700, 60368:63624, 28368:32368] (5000, 3256, 4000) and write ROI [5700:10700, 60368:63624, 28368:32368] (5000, 3256, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/61 with read ROI [10700:15700, 368:4368, 16368:20368] (5000, 4000, 4000) and write ROI [10700:15700, 368:4368, 16368:20368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/463 with read ROI [10700:15700, 4368:8368, 40368:44368] (5000, 4000, 4000) and write ROI [10700:15700, 4368:8368, 40368:44368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1342 with read ROI [10700:15700, 8368:12368, 60368:63624] (5000, 4000, 3256) and write ROI [10700:15700, 8368:12368, 60368:63624] (5000, 4000, 3256)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/381 with read ROI [10700:15700, 12368:16368, 28368:32368] (5000, 4000, 4000) and write ROI [10700:15700, 12368:16368, 28368:32368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/114 with read ROI [10700:15700, 20368:24368, 368:4368] (5000, 4000, 4000) and write ROI [10700:15700, 20368:24368, 368:4368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/158 with read ROI [10700:15700, 24368:28368, 368:4368] (5000, 4000, 4000) and write ROI [10700:15700, 24368:28368, 368:4368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/343 with read ROI [10700:15700, 32368:36368, 4368:8368] (5000, 4000, 4000) and write ROI [10700:15700, 32368:36368, 4368:8368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/2368 with read ROI [10700:15700, 36368:40368, 48368:52368] (5000, 4000, 4000) and write ROI [10700:15700, 36368:40368, 48368:52368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/773 with read ROI [10700:15700, 44368:48368, 8368:12368] (5000, 4000, 4000) and write ROI [10700:15700, 44368:48368, 8368:12368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/4602 with read ROI [10700:15700, 48368:52368, 60368:63624] (5000, 4000, 3256) and write ROI [10700:15700, 48368:52368, 60368:63624] (5000, 4000, 3256)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/3776 with read ROI [10700:15700, 52368:56368, 48368:52368] (5000, 4000, 4000) and write ROI [10700:15700, 52368:56368, 48368:52368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/5098 with read ROI [10700:15700, 56368:60368, 56368:60368] (5000, 4000, 4000) and write ROI [10700:15700, 56368:60368, 56368:60368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/5611 with read ROI [10700:15700, 60368:63624, 56368:60368] (5000, 3256, 4000) and write ROI [10700:15700, 60368:63624, 56368:60368] (5000, 3256, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/825 with read ROI [15700:20700, 368:4368, 52368:56368] (5000, 4000, 4000) and write ROI [15700:20700, 368:4368, 52368:56368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/693 with read ROI [15700:20700, 4368:8368, 44368:48368] (5000, 4000, 4000) and write ROI [15700:20700, 4368:8368, 44368:48368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1348 with read ROI [15700:20700, 8368:12368, 56368:60368] (5000, 4000, 4000) and write ROI [15700:20700, 8368:12368, 56368:60368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1564 with read ROI [15700:20700, 12368:16368, 56368:60368] (5000, 4000, 4000) and write ROI [15700:20700, 12368:16368, 56368:60368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1571 with read ROI [15700:20700, 16368:20368, 52368:56368] (5000, 4000, 4000) and write ROI [15700:20700, 16368:20368, 52368:56368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1017 with read ROI [15700:20700, 24368:28368, 32368:36368] (5000, 4000, 4000) and write ROI [15700:20700, 24368:28368, 32368:36368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1198 with read ROI [15700:20700, 28368:32368, 32368:36368] (5000, 4000, 4000) and write ROI [15700:20700, 28368:32368, 32368:36368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/3345 with read ROI [15700:20700, 32368:36368, 60368:63624] (5000, 4000, 3256) and write ROI [15700:20700, 32368:36368, 60368:63624] (5000, 4000, 3256)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/654 with read ROI [15700:20700, 40368:44368, 4368:8368] (5000, 4000, 4000) and write ROI [15700:20700, 40368:44368, 4368:8368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/939 with read ROI [15700:20700, 48368:52368, 4368:8368] (5000, 4000, 4000) and write ROI [15700:20700, 48368:52368, 4368:8368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1296 with read ROI [15700:20700, 56368:60368, 4368:8368] (5000, 4000, 4000) and write ROI [15700:20700, 56368:60368, 4368:8368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/694 with read ROI [20700:25700, 368:4368, 44368:48368] (5000, 4000, 4000) and write ROI [20700:25700, 368:4368, 44368:48368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/81 with read ROI [20700:25700, 8368:12368, 368:4368] (5000, 4000, 4000) and write ROI [20700:25700, 8368:12368, 368:4368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/487 with read ROI [20700:25700, 12368:16368, 24368:28368] (5000, 4000, 4000) and write ROI [20700:25700, 12368:16368, 24368:28368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/495 with read ROI [20700:25700, 16368:20368, 20368:24368] (5000, 4000, 4000) and write ROI [20700:25700, 16368:20368, 20368:24368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1189 with read ROI [20700:25700, 20368:24368, 36368:40368] (5000, 4000, 4000) and write ROI [20700:25700, 20368:24368, 36368:40368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/2359 with read ROI [20700:25700, 24368:28368, 52368:56368] (5000, 4000, 4000) and write ROI [20700:25700, 24368:28368, 52368:56368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/886 with read ROI [20700:25700, 28368:32368, 20368:24368] (5000, 4000, 4000) and write ROI [20700:25700, 28368:32368, 20368:24368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1853 with read ROI [20700:25700, 32368:36368, 36368:40368] (5000, 4000, 4000) and write ROI [20700:25700, 32368:36368, 36368:40368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/2395 with read ROI [20700:25700, 36368:40368, 40368:44368] (5000, 4000, 4000) and write ROI [20700:25700, 36368:40368, 40368:44368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1880 with read ROI [20700:25700, 40368:44368, 28368:32368] (5000, 4000, 4000) and write ROI [20700:25700, 40368:44368, 28368:32368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/4184 with read ROI [20700:25700, 44368:48368, 52368:56368] (5000, 4000, 4000) and write ROI [20700:25700, 44368:48368, 52368:56368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/2457 with read ROI [20700:25700, 52368:56368, 24368:28368] (5000, 4000, 4000) and write ROI [20700:25700, 52368:56368, 24368:28368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/6178 with read ROI [20700:25700, 60368:63624, 52368:56368] (5000, 3256, 4000) and write ROI [20700:25700, 60368:63624, 52368:56368] (5000, 3256, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/191 with read ROI [25700:30700, 4368:8368, 12368:16368] (5000, 4000, 4000) and write ROI [25700:30700, 4368:8368, 12368:16368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1173 with read ROI [25700:30700, 8368:12368, 44368:48368] (5000, 4000, 4000) and write ROI [25700:30700, 8368:12368, 44368:48368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/215 with read ROI [25700:30700, 16368:20368, 368:4368] (5000, 4000, 4000) and write ROI [25700:30700, 16368:20368, 368:4368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1200 with read ROI [25700:30700, 20368:24368, 32368:36368] (5000, 4000, 4000) and write ROI [25700:30700, 20368:24368, 32368:36368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/3347 with read ROI [25700:30700, 24368:28368, 60368:63624] (5000, 4000, 3256) and write ROI [25700:30700, 24368:28368, 60368:63624] (5000, 4000, 3256)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/2383 with read ROI [25700:30700, 28368:32368, 44368:48368] (5000, 4000, 4000) and write ROI [25700:30700, 28368:32368, 44368:48368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/3372 with read ROI [25700:30700, 32368:36368, 52368:56368] (5000, 4000, 4000) and write ROI [25700:30700, 32368:36368, 52368:56368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/941 with read ROI [25700:30700, 40368:44368, 4368:8368] (5000, 4000, 4000) and write ROI [25700:30700, 40368:44368, 4368:8368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/2741 with read ROI [25700:30700, 44368:48368, 32368:36368] (5000, 4000, 4000) and write ROI [25700:30700, 44368:48368, 32368:36368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1506 with read ROI [25700:30700, 52368:56368, 4368:8368] (5000, 4000, 4000) and write ROI [25700:30700, 52368:56368, 4368:8368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/2815 with read ROI [25700:30700, 60368:63624, 16368:20368] (5000, 3256, 4000) and write ROI [25700:30700, 60368:63624, 16368:20368] (5000, 3256, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/391 with read ROI [30700:35700, 368:4368, 24368:28368] (5000, 4000, 4000) and write ROI [30700:35700, 368:4368, 24368:28368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/714 with read ROI [30700:35700, 4368:8368, 32368:36368] (5000, 4000, 4000) and write ROI [30700:35700, 4368:8368, 32368:36368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1813 with read ROI [30700:35700, 8368:12368, 52368:56368] (5000, 4000, 4000) and write ROI [30700:35700, 8368:12368, 52368:56368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/425 with read ROI [30700:35700, 16368:20368, 8368:12368] (5000, 4000, 4000) and write ROI [30700:35700, 16368:20368, 8368:12368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/888 with read ROI [30700:35700, 20368:24368, 20368:24368] (5000, 4000, 4000) and write ROI [30700:35700, 20368:24368, 20368:24368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1053 with read ROI [30700:35700, 24368:28368, 20368:24368] (5000, 4000, 4000) and write ROI [30700:35700, 24368:28368, 20368:24368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/671 with read ROI [30700:35700, 32368:36368, 368:4368] (5000, 4000, 4000) and write ROI [30700:35700, 32368:36368, 368:4368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1456 with read ROI [30700:35700, 36368:40368, 16368:20368] (5000, 4000, 4000) and write ROI [30700:35700, 36368:40368, 16368:20368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1682 with read ROI [30700:35700, 40368:44368, 16368:20368] (5000, 4000, 4000) and write ROI [30700:35700, 40368:44368, 16368:20368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/3813 with read ROI [30700:35700, 44368:48368, 40368:44368] (5000, 4000, 4000) and write ROI [30700:35700, 44368:48368, 40368:44368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/3102 with read ROI [30700:35700, 48368:52368, 28368:32368] (5000, 4000, 4000) and write ROI [30700:35700, 48368:52368, 28368:32368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1987 with read ROI [30700:35700, 56368:60368, 4368:8368] (5000, 4000, 4000) and write ROI [30700:35700, 56368:60368, 4368:8368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/321 with read ROI [35700:40700, 368:4368, 16368:20368] (5000, 4000, 4000) and write ROI [35700:40700, 368:4368, 16368:20368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/723 with read ROI [35700:40700, 4368:8368, 28368:32368] (5000, 4000, 4000) and write ROI [35700:40700, 4368:8368, 28368:32368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/338 with read ROI [35700:40700, 8368:12368, 8368:12368] (5000, 4000, 4000) and write ROI [35700:40700, 8368:12368, 8368:12368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/742 with read ROI [35700:40700, 12368:16368, 20368:24368] (5000, 4000, 4000) and write ROI [35700:40700, 12368:16368, 20368:24368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1213 with read ROI [35700:40700, 16368:20368, 28368:32368] (5000, 4000, 4000) and write ROI [35700:40700, 16368:20368, 28368:32368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/3361 with read ROI [35700:40700, 20368:24368, 56368:60368] (5000, 4000, 4000) and write ROI [35700:40700, 20368:24368, 56368:60368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/928 with read ROI [35700:40700, 28368:32368, 8368:12368] (5000, 4000, 4000) and write ROI [35700:40700, 28368:32368, 8368:12368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/2427 with read ROI [35700:40700, 32368:36368, 32368:36368] (5000, 4000, 4000) and write ROI [35700:40700, 32368:36368, 32368:36368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1300 with read ROI [35700:40700, 40368:44368, 4368:8368] (5000, 4000, 4000) and write ROI [35700:40700, 40368:44368, 4368:8368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/3454 with read ROI [35700:40700, 44368:48368, 32368:36368] (5000, 4000, 4000) and write ROI [35700:40700, 44368:48368, 32368:36368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/7337 with read ROI [35700:40700, 48368:52368, 60368:63624] (5000, 4000, 3256) and write ROI [35700:40700, 48368:52368, 60368:63624] (5000, 4000, 3256)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/3892 with read ROI [35700:40700, 56368:60368, 24368:28368] (5000, 4000, 4000) and write ROI [35700:40700, 56368:60368, 24368:28368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/499 with read ROI [40700:45700, 368:4368, 20368:24368] (5000, 4000, 4000) and write ROI [40700:45700, 368:4368, 20368:24368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1383 with read ROI [40700:45700, 4368:8368, 40368:44368] (5000, 4000, 4000) and write ROI [40700:45700, 4368:8368, 40368:44368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/2663 with read ROI [40700:45700, 8368:12368, 56368:60368] (5000, 4000, 4000) and write ROI [40700:45700, 8368:12368, 56368:60368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1416 with read ROI [40700:45700, 16368:20368, 28368:32368] (5000, 4000, 4000) and write ROI [40700:45700, 16368:20368, 28368:32368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/793 with read ROI [40700:45700, 24368:28368, 4368:8368] (5000, 4000, 4000) and write ROI [40700:45700, 24368:28368, 4368:8368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1668 with read ROI [40700:45700, 28368:32368, 20368:24368] (5000, 4000, 4000) and write ROI [40700:45700, 28368:32368, 20368:24368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/3420 with read ROI [40700:45700, 32368:36368, 40368:44368] (5000, 4000, 4000) and write ROI [40700:45700, 32368:36368, 40368:44368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1319 with read ROI [40700:45700, 40368:44368, 368:4368] (5000, 4000, 4000) and write ROI [40700:45700, 40368:44368, 368:4368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1969 with read ROI [40700:45700, 44368:48368, 8368:12368] (5000, 4000, 4000) and write ROI [40700:45700, 44368:48368, 8368:12368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/5178 with read ROI [40700:45700, 48368:52368, 40368:44368] (5000, 4000, 4000) and write ROI [40700:45700, 48368:52368, 40368:44368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/3186 with read ROI [40700:45700, 56368:60368, 12368:16368] (5000, 4000, 4000) and write ROI [40700:45700, 56368:60368, 12368:16368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/5244 with read ROI [40700:45700, 60368:63624, 28368:32368] (5000, 3256, 4000) and write ROI [40700:45700, 60368:63624, 28368:32368] (5000, 3256, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1825 with read ROI [45700:50700, 368:4368, 48368:52368] (5000, 4000, 4000) and write ROI [45700:50700, 368:4368, 48368:52368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/439 with read ROI [45700:50700, 8368:12368, 4368:8368] (5000, 4000, 4000) and write ROI [45700:50700, 8368:12368, 4368:8368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1858 with read ROI [45700:50700, 12368:16368, 36368:40368] (5000, 4000, 4000) and write ROI [45700:50700, 12368:16368, 36368:40368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/3376 with read ROI [45700:50700, 16368:20368, 52368:56368] (5000, 4000, 4000) and write ROI [45700:50700, 16368:20368, 52368:56368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/809 with read ROI [45700:50700, 24368:28368, 368:4368] (5000, 4000, 4000) and write ROI [45700:50700, 24368:28368, 368:4368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1285 with read ROI [45700:50700, 28368:32368, 8368:12368] (5000, 4000, 4000) and write ROI [45700:50700, 28368:32368, 8368:12368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1702 with read ROI [45700:50700, 32368:36368, 12368:16368] (5000, 4000, 4000) and write ROI [45700:50700, 32368:36368, 12368:16368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/3834 with read ROI [45700:50700, 36368:40368, 36368:40368] (5000, 4000, 4000) and write ROI [45700:50700, 36368:40368, 36368:40368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/3873 with read ROI [45700:50700, 44368:48368, 28368:32368] (5000, 4000, 4000) and write ROI [45700:50700, 44368:48368, 28368:32368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/8010 with read ROI [45700:50700, 48368:52368, 56368:60368] (5000, 4000, 4000) and write ROI [45700:50700, 48368:52368, 56368:60368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/4780 with read ROI [45700:50700, 56368:60368, 24368:28368] (5000, 4000, 4000) and write ROI [45700:50700, 56368:60368, 24368:28368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/520 with read ROI [50700:55700, 368:4368, 12368:16368] (5000, 4000, 4000) and write ROI [50700:55700, 368:4368, 12368:16368] (5000, 4000, 4000)
