start
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/220 with read ROI [700:5700, 368:4368, 40368:44368] (5000, 4000, 4000) and write ROI [700:5700, 368:4368, 40368:44368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/738 with read ROI [15700:20700, 28368:32368, 20368:24368] (5000, 4000, 4000) and write ROI [15700:20700, 28368:32368, 20368:24368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/2358 with read ROI [15700:20700, 28368:32368, 52368:56368] (5000, 4000, 4000) and write ROI [15700:20700, 28368:32368, 52368:56368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/897 with read ROI [15700:20700, 36368:40368, 16368:20368] (5000, 4000, 4000) and write ROI [15700:20700, 36368:40368, 16368:20368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1852 with read ROI [15700:20700, 36368:40368, 36368:40368] (5000, 4000, 4000) and write ROI [15700:20700, 36368:40368, 36368:40368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/2408 with read ROI [15700:20700, 44368:48368, 36368:40368] (5000, 4000, 4000) and write ROI [15700:20700, 44368:48368, 36368:40368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/5083 with read ROI [15700:20700, 48368:52368, 60368:63624] (5000, 4000, 3256) and write ROI [15700:20700, 48368:52368, 60368:63624] (5000, 4000, 3256)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1927 with read ROI [15700:20700, 56368:60368, 16368:20368] (5000, 4000, 4000) and write ROI [15700:20700, 56368:60368, 16368:20368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/2756 with read ROI [15700:20700, 56368:60368, 28368:32368] (5000, 4000, 4000) and write ROI [15700:20700, 56368:60368, 28368:32368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/4669 with read ROI [15700:20700, 60368:63624, 44368:48368] (5000, 3256, 4000) and write ROI [15700:20700, 60368:63624, 44368:48368] (5000, 3256, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/234 with read ROI [20700:25700, 368:4368, 24368:28368] (5000, 4000, 4000) and write ROI [20700:25700, 368:4368, 24368:28368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/184 with read ROI [20700:25700, 4368:8368, 16368:20368] (5000, 4000, 4000) and write ROI [20700:25700, 4368:8368, 16368:20368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/994 with read ROI [20700:25700, 8368:12368, 44368:48368] (5000, 4000, 4000) and write ROI [20700:25700, 8368:12368, 44368:48368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1172 with read ROI [20700:25700, 12368:16368, 44368:48368] (5000, 4000, 4000) and write ROI [20700:25700, 12368:16368, 44368:48368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1370 with read ROI [20700:25700, 16368:20368, 44368:48368] (5000, 4000, 4000) and write ROI [20700:25700, 16368:20368, 44368:48368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1820 with read ROI [20700:25700, 20368:24368, 48368:52368] (5000, 4000, 4000) and write ROI [20700:25700, 20368:24368, 48368:52368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/750 with read ROI [20700:25700, 28368:32368, 16368:20368] (5000, 4000, 4000) and write ROI [20700:25700, 28368:32368, 16368:20368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1412 with read ROI [20700:25700, 32368:36368, 28368:32368] (5000, 4000, 4000) and write ROI [20700:25700, 32368:36368, 28368:32368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/789 with read ROI [20700:25700, 40368:44368, 4368:8368] (5000, 4000, 4000) and write ROI [20700:25700, 40368:44368, 4368:8368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/3049 with read ROI [20700:25700, 44368:48368, 40368:44368] (5000, 4000, 4000) and write ROI [20700:25700, 44368:48368, 40368:44368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/5100 with read ROI [20700:25700, 48368:52368, 56368:60368] (5000, 4000, 4000) and write ROI [20700:25700, 48368:52368, 56368:60368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1946 with read ROI [20700:25700, 56368:60368, 12368:16368] (5000, 4000, 4000) and write ROI [20700:25700, 56368:60368, 12368:16368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/2475 with read ROI [20700:25700, 56368:60368, 20368:24368] (5000, 4000, 4000) and write ROI [20700:25700, 56368:60368, 20368:24368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/140 with read ROI [25700:30700, 368:4368, 12368:16368] (5000, 4000, 4000) and write ROI [25700:30700, 368:4368, 12368:16368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/481 with read ROI [25700:30700, 4368:8368, 28368:32368] (5000, 4000, 4000) and write ROI [25700:30700, 4368:8368, 28368:32368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1804 with read ROI [25700:30700, 8368:12368, 56368:60368] (5000, 4000, 4000) and write ROI [25700:30700, 8368:12368, 56368:60368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/336 with read ROI [25700:30700, 16368:20368, 8368:12368] (5000, 4000, 4000) and write ROI [25700:30700, 16368:20368, 8368:12368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/740 with read ROI [25700:30700, 20368:24368, 20368:24368] (5000, 4000, 4000) and write ROI [25700:30700, 20368:24368, 20368:24368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/887 with read ROI [25700:30700, 24368:28368, 20368:24368] (5000, 4000, 4000) and write ROI [25700:30700, 24368:28368, 20368:24368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/3008 with read ROI [25700:30700, 28368:32368, 52368:56368] (5000, 4000, 4000) and write ROI [25700:30700, 28368:32368, 52368:56368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/2410 with read ROI [25700:30700, 36368:40368, 36368:40368] (5000, 4000, 4000) and write ROI [25700:30700, 36368:40368, 36368:40368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/2425 with read ROI [25700:30700, 40368:44368, 32368:36368] (5000, 4000, 4000) and write ROI [25700:30700, 40368:44368, 32368:36368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/5597 with read ROI [25700:30700, 44368:48368, 60368:63624] (5000, 4000, 3256) and write ROI [25700:30700, 44368:48368, 60368:63624] (5000, 4000, 3256)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1716 with read ROI [25700:30700, 52368:56368, 8368:12368] (5000, 4000, 4000) and write ROI [25700:30700, 52368:56368, 8368:12368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/3120 with read ROI [25700:30700, 56368:60368, 24368:28368] (5000, 4000, 4000) and write ROI [25700:30700, 56368:60368, 24368:28368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/7355 with read ROI [25700:30700, 60368:63624, 56368:60368] (5000, 3256, 4000) and write ROI [25700:30700, 60368:63624, 56368:60368] (5000, 3256, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/254 with read ROI [30700:35700, 4368:8368, 12368:16368] (5000, 4000, 4000) and write ROI [30700:35700, 4368:8368, 12368:16368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/328 with read ROI [30700:35700, 8368:12368, 12368:16368] (5000, 4000, 4000) and write ROI [30700:35700, 8368:12368, 12368:16368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/611 with read ROI [30700:35700, 12368:16368, 20368:24368] (5000, 4000, 4000) and write ROI [30700:35700, 12368:16368, 20368:24368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/621 with read ROI [30700:35700, 16368:20368, 16368:20368] (5000, 4000, 4000) and write ROI [30700:35700, 16368:20368, 16368:20368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/2096 with read ROI [30700:35700, 20368:24368, 44368:48368] (5000, 4000, 4000) and write ROI [30700:35700, 20368:24368, 44368:48368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/777 with read ROI [30700:35700, 28368:32368, 8368:12368] (5000, 4000, 4000) and write ROI [30700:35700, 28368:32368, 8368:12368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1251 with read ROI [30700:35700, 32368:36368, 16368:20368] (5000, 4000, 4000) and write ROI [30700:35700, 32368:36368, 16368:20368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/958 with read ROI [30700:35700, 40368:44368, 368:4368] (5000, 4000, 4000) and write ROI [30700:35700, 40368:44368, 368:4368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/2183 with read ROI [30700:35700, 44368:48368, 20368:24368] (5000, 4000, 4000) and write ROI [30700:35700, 44368:48368, 20368:24368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/2477 with read ROI [30700:35700, 48368:52368, 20368:24368] (5000, 4000, 4000) and write ROI [30700:35700, 48368:52368, 20368:24368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/5652 with read ROI [30700:35700, 52368:56368, 48368:52368] (5000, 4000, 4000) and write ROI [30700:35700, 52368:56368, 48368:52368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/4711 with read ROI [30700:35700, 56368:60368, 36368:40368] (5000, 4000, 4000) and write ROI [30700:35700, 56368:60368, 36368:40368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/5197 with read ROI [30700:35700, 60368:63624, 36368:40368] (5000, 3256, 4000) and write ROI [30700:35700, 60368:63624, 36368:40368] (5000, 3256, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/329 with read ROI [35700:40700, 4368:8368, 12368:16368] (5000, 4000, 4000) and write ROI [35700:40700, 4368:8368, 12368:16368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/868 with read ROI [35700:40700, 8368:12368, 28368:32368] (5000, 4000, 4000) and write ROI [35700:40700, 8368:12368, 28368:32368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/2662 with read ROI [35700:40700, 12368:16368, 56368:60368] (5000, 4000, 4000) and write ROI [35700:40700, 12368:16368, 56368:60368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/765 with read ROI [35700:40700, 20368:24368, 12368:16368] (5000, 4000, 4000) and write ROI [35700:40700, 20368:24368, 12368:16368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/2398 with read ROI [35700:40700, 24368:28368, 40368:44368] (5000, 4000, 4000) and write ROI [35700:40700, 24368:28368, 40368:44368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1652 with read ROI [35700:40700, 28368:32368, 24368:28368] (5000, 4000, 4000) and write ROI [35700:40700, 28368:32368, 24368:28368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1898 with read ROI [35700:40700, 32368:36368, 24368:28368] (5000, 4000, 4000) and write ROI [35700:40700, 32368:36368, 24368:28368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/2443 with read ROI [35700:40700, 36368:40368, 28368:32368] (5000, 4000, 4000) and write ROI [35700:40700, 36368:40368, 28368:32368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/3436 with read ROI [35700:40700, 40368:44368, 36368:40368] (5000, 4000, 4000) and write ROI [35700:40700, 40368:44368, 36368:40368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1718 with read ROI [35700:40700, 44368:48368, 8368:12368] (5000, 4000, 4000) and write ROI [35700:40700, 44368:48368, 8368:12368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/2797 with read ROI [35700:40700, 48368:52368, 20368:24368] (5000, 4000, 4000) and write ROI [35700:40700, 48368:52368, 20368:24368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/4277 with read ROI [35700:40700, 52368:56368, 32368:36368] (5000, 4000, 4000) and write ROI [35700:40700, 52368:56368, 32368:36368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/6222 with read ROI [35700:40700, 56368:60368, 44368:48368] (5000, 4000, 4000) and write ROI [35700:40700, 56368:60368, 44368:48368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/4755 with read ROI [35700:40700, 60368:63624, 28368:32368] (5000, 3256, 4000) and write ROI [35700:40700, 60368:63624, 28368:32368] (5000, 3256, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/2068 with read ROI [40700:45700, 368:4368, 56368:60368] (5000, 4000, 4000) and write ROI [40700:45700, 368:4368, 56368:60368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/427 with read ROI [40700:45700, 8368:12368, 8368:12368] (5000, 4000, 4000) and write ROI [40700:45700, 8368:12368, 8368:12368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/2098 with read ROI [40700:45700, 12368:16368, 44368:48368] (5000, 4000, 4000) and write ROI [40700:45700, 12368:16368, 44368:48368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/3740 with read ROI [40700:45700, 16368:20368, 60368:63624] (5000, 4000, 3256) and write ROI [40700:45700, 16368:20368, 60368:63624] (5000, 4000, 3256)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/3375 with read ROI [40700:45700, 20368:24368, 52368:56368] (5000, 4000, 4000) and write ROI [40700:45700, 20368:24368, 52368:56368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/2428 with read ROI [40700:45700, 28368:32368, 32368:36368] (5000, 4000, 4000) and write ROI [40700:45700, 28368:32368, 32368:36368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/3437 with read ROI [40700:45700, 36368:40368, 36368:40368] (5000, 4000, 4000) and write ROI [40700:45700, 36368:40368, 36368:40368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/2798 with read ROI [40700:45700, 44368:48368, 20368:24368] (5000, 4000, 4000) and write ROI [40700:45700, 44368:48368, 20368:24368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/7988 with read ROI [40700:45700, 48368:52368, 60368:63624] (5000, 4000, 3256) and write ROI [40700:45700, 48368:52368, 60368:63624] (5000, 4000, 3256)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/3915 with read ROI [40700:45700, 56368:60368, 20368:24368] (5000, 4000, 4000) and write ROI [40700:45700, 56368:60368, 20368:24368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/5740 with read ROI [40700:45700, 60368:63624, 32368:36368] (5000, 3256, 4000) and write ROI [40700:45700, 60368:63624, 32368:36368] (5000, 3256, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1194 with read ROI [45700:50700, 368:4368, 36368:40368] (5000, 4000, 4000) and write ROI [45700:50700, 368:4368, 36368:40368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/2989 with read ROI [45700:50700, 4368:8368, 60368:63624] (5000, 4000, 3256) and write ROI [45700:50700, 4368:8368, 60368:63624] (5000, 4000, 3256)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/3351 with read ROI [45700:50700, 8368:12368, 60368:63624] (5000, 4000, 3256) and write ROI [45700:50700, 8368:12368, 60368:63624] (5000, 4000, 3256)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1069 with read ROI [45700:50700, 16368:20368, 16368:20368] (5000, 4000, 4000) and write ROI [45700:50700, 16368:20368, 16368:20368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/2138 with read ROI [45700:50700, 20368:24368, 32368:36368] (5000, 4000, 4000) and write ROI [45700:50700, 20368:24368, 32368:36368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1114 with read ROI [45700:50700, 28368:32368, 4368:8368] (5000, 4000, 4000) and write ROI [45700:50700, 28368:32368, 4368:8368] (5000, 4000, 4000)
